,turn-radius,uuv-speed,nav-bearing-std,nav-velocity-std-cm,max-obs-dist,obs-influence,sonar_ping_rate,side_angle,side_low_range,side_hi_range,side_p_detect,forward_angle,forward_low_range,forward_hi_range,forward_p_detect,current-heading,drift-speed
78,6.5,4.13,0.16,1.3,27.51,3.95,6,56,36,688,0.99219,68,0,88,0.7125,283.3,0.33
79,15.36,2.91,0.05,1.55,16.41,4.05,58,103,20,356,0.57813,38,0,402,0.7625,333.8,0.38
80,5.94,2.0,0.03,1.94,25.02,2.68,2,34,35,663,0.51953,47,0,355,0.79375,328.1,0.02
81,15.92,4.28,1.59,0.52,28.87,1.87,19,62,36,525,0.6875,48,0,46,0.96875,78.5,0.93
82,2.56,3.59,1.47,0.44,17.77,4.12,51,64,25,969,0.70313,40,0,331,0.9375,115.0,0.52
83,16.77,1.91,1.44,0.95,23.88,4.86,20,57,35,263,0.84375,56,0,70,0.95,117.8,0.95
84,8.33,1.13,1.23,0.5,26.38,1.41,40,102,29,806,0.9726600000000001,57,0,337,0.9875,143.0,0.64
85,14.94,4.19,0.36,0.09,15.73,2.01,42,2,38,488,0.91406,22,0,456,0.34375,331.0,0.89
86,8.89,3.94,0.7,0.16,19.13,4.44,9,89,21,550,0.97656,50,0,705,0.5625,224.4,0.83
87,16.34,2.13,0.45,0.05,20.48,3.45,57,8,39,300,0.5976600000000001,87,0,497,0.3625,168.3,0.84
88,6.78,2.53,0.06,0.03,24.56,2.19,12,87,20,681,0.6835899999999999,81,0,580,0.475,272.1,0.98
89,14.8,4.06,1.09,0.78,20.71,0.54,32,90,31,344,0.72656,60,0,723,0.9625,61.7,0.66
90,3.13,4.97,1.08,0.86,25.7,3.7,37,24,28,769,0.67188,66,0,652,0.7,33.7,0.85
91,15.78,2.16,1.45,0.0,28.41,4.47,25,84,34,331,0.76953,41,0,669,0.69375,151.5,0.51
92,2.14,1.25,1.27,0.59,25.24,1.63,43,51,20,956,0.8554700000000001,33,0,776,0.59375,103.8,0.79
93,15.08,3.19,0.47,0.89,19.58,2.57,60,76,34,625,0.9843799999999999,85,0,289,0.3875,314.1,0.56
