"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trial.nlogo"
"horseshoe1"
"01/05/2019 13:02:31:679 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"70","69","3037","-2.562","-12.018416387196835","0.095","0","937.627025820236","19","56.981572581599195","37.58259129036916","[63.22263792721455]"
"69","68","20000","-18","-72.63438628817997","0.4","0","2806.4510091674542","80","402.6475270595171","143.6963358222826","[376.88646382323645]"
"71","70","3257","0.593","-32.53507099098245","0.77","0","1891.2489558751145","154","184.8153042509832","146.4654056588413","[221.90463591076397]"
"76","75","20000","-19.7","-20.521333663372996","0.06","0","2527.9533396917536","12","5.943413528417618","2.2699231053123334","[505.58549070312193]"
"77","76","20000","-19.325","-40.85322074539221","0.135","0","2771.4636961968363","27","163.7458916899637","51.53631576395827","[368.3701143704021]"
"74","73","5965","-5.965","-5.965","0","0","3479.5393411337136","0","0","0","[142.6457507931686]"
"73","72","5054","-0.05400000000000027","-12.102470255597078","1","0","614.9582242376306","200","85.74432162285667","34.74038093311406","[80.67528286568194]"
"78","77","2654","-1.204","-5.412427619685477","0.29","0","406.9425538493472","58","26.792778802889192","15.291497393965575","[72.92659794350237]"
"80","79","3634","-0.6590000000000003","-1.9292065612963258","0.595","0","124.28111755216617","119","7.7671870496469815","4.934878563316277","[24.85622351043323]"
"79","78","2570","2.43","-2.6154589918306983","1","0","317.8519983887782","200","33.64253350152515","16.812056416781832","[24.144625752610494]"
"82","81","2477","-0.7769999999999997","-23.896690908919158","0.34","0","2686.043581155837","68","146.59333086420983","84.60357822498172","[252.30462810549858]"
"83","82","5714","-2.414","-24.850997744779505","0.66","0","4590.253130425828","132","183.16426452544945","41.205712922345505","[839.17527266651]"
