"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"lone killer uuv centered"
"04/09/2019 19:31:19:245 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","kill-made"
"73","72","1","449","0","26.796378281241232","0","4.63835268050284","0.7520996301139105","false"
"70","69","1","1987","0","70.3650135580129","0","5.791560707221427","2.8753487614213613","false"
"67","66","1","3482","0","85.17415019181004","86","7.933128683990165","5.026056368788852","false"
"71","70","1","4486","1","361.29709862211655","100","15.12462792327003","8.295381705471376","false"
"66","65","1","4254","0","240.67292052003395","100","9.506311791571454","9.10941811321867","false"
"72","71","1","2013","0","313.1096026598162","0","23.334552182118543","14.261680403643572","false"
"74","73","1","1010","0","179.87495258375714","0","14.096088910287277","8.881909857492815","false"
"75","74","1","928","0","57.162607301236356","0","10.9122593831166","0.35419260650470114","false"
"77","76","1","842","0","51.488677040597025","0","0","0","false"
"79","78","1","394","0","17.784910770370537","0","1.3496916137556219","1.0210179623123055","false"
