"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"lone killer uuv centered"
"04/10/2019 01:09:41:826 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","kill-made","end-reached"
"100","99","1","6920","0","940.5455126974075","100","82.1387727861246","34.7767084045604","false","true"
"104","103","1","6163","0","583.6099956478383","100","41.12864764537592","35.18503515793371","false","true"
"106","105","1","1854","0","19.360362374527508","0","1.4947617805485007","1.11989437221506","false","false"
"97","96","1","974","0","73.97053951648485","0","6.653191092927421","4.990998980697302","false","false"
"105","104","1","5427","0","762.4950757231184","0","81.87158324411841","35.238188327231754","false","false"
"109","108","1","450","0","7.702688316671079","0","0.7013489723490443","0.29275834515727334","false","false"
"107","106","1","930","0","20.837985014026508","0","1.4252005978734632","0.893910744687668","false","false"
"103","102","1","10024","0","255.22210099063432","98","30.972317384393406","8.379957923352903","false","true"
"110","109","1","2038","0","28.443807619430412","0","2.205860016705508","1.8869711594377576","false","false"
"111","110","1","1681","0","43.99464038514893","0","7.754745566228567","1.8734688172192404","false","false"
"108","107","1","1519","0","200.6256712307456","0","14.129050041226133","8.659537470381434","false","false"
"112","111","1","408","0","46.80462969016112","0","2.5203990545946815","3.0948764569905682","false","false"
"115","114","1","825","0","59.81908150758683","0","7.97576717482375","3.260791240801781","false","false"
"113","112","1","2346","0","58.25000243691281","0","4.656148943741572","4.05174445411905","false","false"
"119","118","1","551","0","40.25357868778623","0","6.331605149843165","1.5441807804332282","false","false"
"114","113","1","1358","0","166.86215793588912","0","15.46241626777043","6.674892027663098","false","false"
"116","115","1","2454","0","281.70331687828065","0","30.5402165974563","16.28606500163269","false","false"
"118","117","1","4350","0","855.2815495752927","0","50.315913917653596","50.34104328250136","false","false"
"120","119","1","3358","0","142.4616103160788","0","9.306236929855508","9.348524593648083","false","false"
"117","116","1","2281","0","56.74339150536342","0","9.751241990729902","0.44478677913012105","false","false"
"121","120","1","2719","0","150.22202003305372","0","28.764940903875512","0.5982641417703094","false","false"
"92","91","1","3373","0","359.6668467535264","100","12.198824126713765","13.451008484021996","false","true"
"126","125","1","1484","0","351.1294767216914","0","22.753796581683712","16.46895972039688","false","false"
"130","0","3","220","0","17.384360175664238","0","3.224649223022864","0.22171443015994954","false","false"
"131","1","3","365","0","24.48120812359116","0","0","0","false","false"
"132","2","3","281","0","6.111907402918215","0","0.49938921672537","0.20686854047572573","false","false"
"127","126","1","3250","0","575.2290174754369","0","38.045540549606834","20.368774606609634","false","false"
"133","3","3","415","0","39.74433590299445","0","5.984146505703295","1.0801391136072935","false","false"
"134","4","3","452","0","11.5482470284643","0","0","0","false","false"
"122","121","1","5657","0","378.62242405169013","100","20.289883660745936","11.100668374952768","false","true"
"136","6","3","458","0","1.4644023350326956","0","0.1433970847639849","0.06143815593584649","false","false"
"123","122","1","5592","0","939.2070208749635","100","61.91928764905217","69.15474632788894","false","true"
"135","5","3","234","0","28.327974775510082","0","2.7621740293107377","1.2733194422165592","false","false"
"128","127","1","6583","0","350.375024469327","100","20.888812032256695","13.142735107752602","false","true"
"139","9","3","439","0","21.08537265037526","0","1.052542202684363","0.5740041865729184","false","false"
"125","124","1","6226","0","807.7280758202428","100","51.3740013893512","33.34430978410742","false","true"
"137","7","3","461","0","7.576750020115666","0","0.7233693909248363","0.40562573017242004","false","false"
"124","123","1","3942","0","81.59158135328299","0","6.485496243966376","5.952745618545973","false","false"
"138","8","3","2022","0","162.54848353991858","0","26.37156078920043","4.035415738073604","false","false"
"142","12","3","471","0","26.18982478596537","0","1.8209508211838015","1.2304739772851836","false","false"
"144","14","3","406","0","27.025577554725352","0","3.5723890843441723","1.193157090751309","false","false"
"140","10","3","2069","0","168.3377946612292","0","32.24786729698698","2.6068595082361585","false","false"
"147","17","3","1052","0","31.627220844011042","0","3.589286611735486","1.8250005683681294","false","false"
"143","13","3","2295","0","694.2867172843363","0","55.79134054043879","45.249808692472016","false","false"
"141","11","3","2182","0","69.75847815205795","0","5.451915705291757","4.387657429296096","false","false"
"146","16","3","2245","0","72.2730713840586","0","5.701396853765295","4.296773080394228","false","false"
"149","19","3","1791","0","201.00502900265863","0","8.299450160600625","5.3147976433722235","false","false"
"150","20","3","1355","0","15.880339046966414","0","1.1508182288063287","0.9229206381076493","false","false"
"154","24","3","347","0","5.408502524017714","0","0.9777901967187002","0.040121307825241634","false","false"
"148","18","3","1898","0","215.4570261899244","0","15.04733948921696","16.03421071753496","false","false"
"152","22","3","1507","0","454.2717401700464","0","37.69182721610174","25.373648862244174","false","false"
"155","25","3","492","0","0.9464614896379181","0","0.09955299062304787","0.03663442567231002","false","false"
"153","23","3","1172","0","216.62836299119425","0","23.268542218513016","13.37562439256363","false","false"
"156","26","3","249","0","2.239015485461113","0","0","0","false","false"
"157","27","3","498","0","41.79855137165102","0","5.739403186006442","0.9314812353739459","false","false"
"151","21","3","1665","0","10.736445592474793","0","1.0346735933887354","0.6400633886632311","false","false"
"158","28","3","415","0","4.970932218328647","0","0.8529559558359616","0.08016041197512006","false","false"
"160","30","3","641","0","31.61239379363034","0","3.3282582113198353","1.966127257708178","false","false"
"159","29","3","1203","0","123.44338474632175","0","12.98921922948999","6.784434957813892","false","false"
"161","31","3","1788","0","55.680508209019564","0","3.352297397846334","1.6365918945114566","false","false"
"164","34","3","282","0","5.668887969185916","0","0.8399328168629009","0.21600413515115452","false","false"
"165","35","3","561","0","16.187301856777047","0","2.2164939122100833","1.0229813432934056","false","false"
"162","32","3","369","0","78.54977194826904","0","12.296011348153513","2.454850887364809","false","false"
"166","36","3","292","0","7.724882833486509","0","0","0","false","false"
"163","33","3","351","0","23.883562148126384","0","2.770599979768067","1.0334679452308482","false","false"
"168","38","3","226","0","13.452416122168385","0","1.5340203707051732","0.7670249378251012","false","false"
"169","39","3","761","0","7.146856033665272","0","0.7640931194365688","0.3530472616202758","false","false"
"129","128","1","8280","0","168.46258887424722","96","6.225852019923297","2.9197422304904865","false","true"
"145","15","3","1996","0","97.49818733001698","0","6.590549601895557","7.01494276171569","false","false"
"171","41","3","1109","0","123.1203456393054","0","18.148904225869927","5.819806956280814","false","false"
"172","42","3","1176","0","42.17919887404706","0","3.9050866173884007","2.269993278064035","false","false"
"167","37","3","1701","0","470.5729472932398","0","27.80384667694444","22.54961498172902","false","false"
"174","44","3","907","0","256.880465174155","0","22.801277301141152","17.825838189126575","false","false"
"170","40","3","1258","0","504.61795756946253","0","41.01699559888807","33.77699600989472","false","false"
"178","48","3","1123","0","36.66495100603711","0","2.328500143110898","2.429026161368401","false","false"
"180","50","3","288","0","19.330979227905615","0","1.221683043166631","0.8501376220949708","false","false"
"177","47","3","814","0","83.71551464033436","0","8.102865968565421","5.506075292486258","false","false"
"181","51","3","1099","0","484.46413036839823","0","17.773786729212574","15.831664980391965","false","false"
"176","46","3","3987","0","69.32699290176579","57","3.0694983225711896","1.0200992935494624","false","true"
