"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"lone killer uuv centered"
"04/22/2019 19:31:43:128 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count-mine-contacts","marker-mean","marker-std-dev","kill-made","end-reached","count uuvs"
"23","22","1","549","0","124.17092007534129","8","16.38982432325563","7.150928196989788","true","false","0"
"25","24","1","332","0","6.577003249888806","13","1.0372127091999686","0.3214634492585254","true","false","0"
"26","25","1","496","0","3.416812941766412","15","0.34999340348680774","0.15613842085611876","true","false","0"
"27","26","1","271","0","19.3540438223114","2","3.803108820456197","0.09022748853558851","true","false","0"
"28","27","1","500","0","19.913410660153865","4","3.4557460297800473","0.0457762833768637","true","false","0"
"29","28","1","425","0","5.468429874233899","10","0.801510380930711","0.1659679090737129","true","false","0"
"32","31","1","2242","0","257.09053974064915","48","14.826879671610834","14.389900350310484","true","false","0"
"31","30","1","2197","0","252.7025954075171","28","16.86579296081107","12.337195855962024","true","false","0"
"24","23","1","1871","0","1072.4521937968448","47","139.83742065467658","78.4948473533622","true","false","0"
"35","34","1","334","0","13.093028743393605","24","1.5051237158297806","0.6934711255354414","true","false","0"
"36","35","1","402","0","24.972714708698767","15","3.504310230872237","0.899914634287188","true","false","0"
"16","15","1","1730","0","179.09034205007433","51","5.637664473614227","5.370866170552771","true","false","0"
"33","32","1","572","0","84.57494307351408","0","0","0","true","false","0"
"30","29","1","4868","2","369.5970288675438","100","5.783812648503411","3.7542599519739133","false","true","1"
"34","33","1","389","0","38.113405644693444","14","5.608904434121992","1.3013112200012562","true","false","0"
"39","38","1","233","0","15.159267866365562","13","1.5866462669277825","0.727499055974589","true","false","0"
"40","39","1","797","0","19.342247840179255","50","2.169539302901054","0.9483842390028737","true","false","0"
"41","40","1","1007","0","57.19208405812022","40","4.68558341218162","2.4458182495464063","true","false","0"
"38","37","1","1495","0","97.59693373901618","93","10.768944019261601","5.861628543075405","true","false","0"
"43","42","1","1053","0","46.98635697964201","44","3.489550394678218","3.3423121360491326","true","false","0"
"2","1","1","8910","0","987.7261521241476","100","101.23201540431333","43.29472052850853","false","true","1"
"22","21","1","5436","0","16.495159843462517","100","0.436491232105231","0.3967518153620874","false","true","1"
"45","44","1","701","0","188.99357236900244","16","6.5052172003234725","5.887806732128028","true","false","0"
"42","41","1","2092","0","93.04195254882993","96","7.071234516101298","4.685788424494899","true","false","0"
"49","48","1","1150","0","54.87266103101472","69","5.540021022203058","3.420738793065344","true","false","0"
"51","50","1","310","0","64.04170905477493","13","6.141684963649049","2.930341598073619","true","false","0"
"46","45","1","477","0","15.017520427641882","31","1.6816638647889008","0.7488646516621208","true","false","0"
"47","46","1","3987","0","51.78426086153813","40","4.204786291846733","1.9734104182192151","false","true","1"
"52","51","1","936","0","482.01625930920164","27","30.559952629459914","26.426905832538655","true","false","0"
"50","49","1","1119","0","13.319022180379552","55","1.2263180423591635","0.6610414506930264","true","false","0"
"57","56","1","293","0","1.8195829860067785","3","0.22088511304150169","0.12158111619086458","true","false","0"
"56","55","1","895","0","193.4487925512381","33","11.2691624559135","9.353292385091567","true","false","0"
"54","53","1","1784","0","256.5745546332737","78","10.98463200714257","13.048721788428923","true","false","0"
"55","54","1","909","0","70.32248076295866","24","7.657452903286476","3.1413318347700345","true","false","0"
"59","58","1","280","0","42.901588496561864","2","6.694237243647319","2.631386537455795","true","false","0"
"60","59","1","310","0","22.020271085482136","18","2.3375125703024096","1.396952661412726","true","false","0"
"61","60","1","428","0","17.432405340538487","14","2.383284067705911","0.7372739450021961","true","false","0"
"44","43","1","4419","0","114.53140735451917","100","5.330114564355785","4.721525567415013","false","true","1"
"63","62","1","237","0","38.88817561322158","3","6.295921708132675","0.8195833414483417","true","false","0"
"58","57","1","4628","0","52.42491207293213","100","2.987205213239304","1.8797460537999675","false","true","1"
"65","64","1","1355","0","678.7617553844019","51","55.306449743306345","50.27533761894612","true","false","0"
"64","63","1","3504","2","230.79774246739547","100","8.458060475498815","4.3496493339750035","false","true","1"
"48","47","1","3431","0","330.3465825815039","100","8.251373641532401","6.011820836627966","false","true","1"
"62","61","1","4220","0","373.2501483547213","100","11.636102432038104","8.695799871265399","false","true","1"
"66","65","1","4254","0","240.67292052003395","100","9.506311791571454","9.10941811321867","false","true","1"
"68","67","1","1490","0","155.38531142268968","66","10.373922884637635","7.675270728930783","true","false","0"
"67","66","1","3482","0","85.17415019181004","86","7.933128683990165","5.026056368788852","false","true","1"
"69","68","1","2230","0","469.52999244524966","83","44.266124810211316","16.86350169464779","true","false","0"
