"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"general experiment template"
"01/01/2019 15:32:11:352 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio"
"155","15","4737","-5.6370000000000005","-5.6370000000000005","0.02"
"156","15","4754","-4.478999999999999","-4.478999999999999","0.055"
"157","15","15000","-14.9","-14.9","0.02"
"159","15","4740","-4.69","-4.69","0.01"
"160","15","4745","-4.495","-4.495","0.05"
"161","16","4748","-4.123","-4.123","0.125"
"163","16","4726","-3.476","-3.476","0.25"
"162","16","4727","-3.0520000000000005","-3.0520000000000005","0.335"
"164","16","4724","-4.674","-4.674","0.01"
"165","16","11964","-11.914","-11.914","0.01"
"166","16","4729","-4.0040000000000004","-4.0040000000000004","0.145"
"170","16","15000","-13.7","-13.7","0.26"
"167","16","4748","-4.748","-4.748","0.2"
"173","17","15000","-14.95","-14.95","0.01"
"168","16","4722","-4.047000000000001","-4.047000000000001","0.135"
"169","16","4758","-3.3579999999999997","-3.3579999999999997","0.28"
"171","17","4751","-4.426","-4.426","0.065"
"176","17","15000","-14.7","-14.7","0.06"
"172","17","11290","-11.065","-11.065","0.045"
"174","17","4746","-4.721","-4.721","0.005"
"178","17","15000","-14.375","-14.375","0.125"
"175","17","4725","-4.05","-4.05","0.135"
"177","17","4749","-4.449","-4.449","0.06"
"179","17","4755","-3.3549999999999995","-3.3549999999999995","0.28"
"180","17","10355","-10.255","-10.255","0.02"
"184","18","15000","-14.625","-14.625","0.075"
"181","18","4753","-4.503","-4.503","0.05"
"182","18","4794","-4.518999999999999","-4.518999999999999","0.055"
"183","18","4770","-4.244999999999999","-4.244999999999999","0.105"
"185","18","4743","-3.8430000000000004","-3.8430000000000004","0.18"
"186","18","4755","-4.58","-4.58","0.035"
"187","18","4717","-4.117","-4.117","0.12"
"188","18","4773","-7.1979999999999995","-7.1979999999999995","0.115"
"189","18","15000","-14.95","-14.95","0.01"
"190","18","4759","-4.009","-4.009","0.15"
"191","19","15000","-17.225","-17.225","0.155"
"192","19","4749","-4.624","-4.624","0.025"
"193","19","15000","-14.575","-14.575","0.085"
"196","19","15000","-14.7","-14.7","0.06"
"194","19","4779","-6.379","-6.379","0.28"
"195","19","4709","-4.433999999999999","-4.433999999999999","0.055"
"197","19","4752","-6.202","-6.202","0.31"
"202","20","15000","-14.7","-14.7","0.06"
"198","19","4722","-4.472","-4.472","0.05"
"199","19","4750","-3.7","-3.7","0.21"
"200","19","4737","-4.737","-4.737","0"
"201","20","4726","-3.726","-3.726","0.2"
"205","20","15000","-13.55","-13.55","0.29"
"207","20","15000","-15","-15","0"
"203","20","4734","-4.434","-4.434","0.06"
"204","20","4756","-3.7560000000000002","-3.7560000000000002","0.2"
"206","20","4764","-4.239","-4.239","0.105"
"212","21","15000","-14.275","-14.275","0.145"
"208","20","15000","-14.65","-14.65","0.07"
"209","20","15000","-14.725","-14.725","0.055"
"210","20","4748","-3.173","-3.173","0.315"
"211","21","9342","-8.742","-8.742","0.12"
"213","21","4746","-3.596","-3.596","0.23"
"214","21","15000","-14.95","-14.95","0.01"
"215","21","5110","-4.785","-4.785","0.065"
"216","21","4765","-3.4399999999999995","-3.4399999999999995","0.265"
"218","21","4703","-3.603","-3.603","0.22"
"217","21","15000","-14.7","-14.7","0.06"
"221","22","15000","-14.5","-14.5","0.1"
"219","21","4738","-4.113","-4.113","0.125"
"220","21","4720","-4.42","-4.42","0.06"
"223","22","15000","-14.925","-14.925","0.015"
"224","22","15000","-14.75","-14.75","0.05"
"222","22","15000","-14.7","-14.7","0.06"
"225","22","4765","-4.04","-4.04","0.145"
"226","22","4735","-4.5600000000000005","-4.5600000000000005","0.035"
"227","22","4712","-4.162","-4.162","0.11"
"228","22","4733","-3.8829999999999996","-3.8829999999999996","0.17"
"229","22","4748","-4.648000000000001","-4.648000000000001","0.02"
"230","22","11316","-9.766","-9.766","0.31"
"231","23","15000","-14.775","-14.775","0.045"
"233","23","15000","-13.55","-13.55","0.29"
"232","23","4738","-3.6880000000000006","-3.6880000000000006","0.21"
"234","23","4764","-3.6390000000000002","-3.6390000000000002","0.225"
"235","23","12604","-11.154","-11.154","0.29"
"236","23","12413","-11.438","-11.438","0.195"
"237","23","4763","-4.313","-4.313","0.09"
"238","23","4749","-5.723999999999999","-5.723999999999999","0.005"
"239","23","8439","-8.364","-8.364","0.015"
"240","23","5938","-5.787999999999999","-5.787999999999999","0.03"
"241","24","4735","-4.4350000000000005","-4.4350000000000005","0.06"
"246","24","15000","-14.45","-14.45","0.11"
"242","24","4727","-4.277","-4.277","0.09"
"243","24","4778","-4.327999999999999","-4.327999999999999","0.09"
"245","24","9407","-8.882","-8.882","0.105"
"244","24","15000","-13.375","-13.375","0.325"
"247","24","4762","-4.686999999999999","-4.686999999999999","0.015"
"252","25","15000","-14.625","-14.625","0.075"
"248","24","15000","-14.475","-14.475","0.105"
"249","24","4737","-4.337","-4.337","0.08"
"253","25","15000","-13.775","-13.775","0.245"
"250","24","4743","-3.6930000000000005","-3.6930000000000005","0.21"
"251","25","4718","-3.218","-3.218","0.3"
"258","25","15000","-14.65","-14.65","0.07"
"254","25","15000","-17.275","-17.275","0.145"
"255","25","15000","-14.225","-14.225","0.155"
"261","26","15000","-13.525","-13.525","0.295"
"256","25","4762","-4.561999999999999","-4.561999999999999","0.04"
"257","25","15000","-14.525","-14.525","0.095"
"259","25","4747","-4.197","-4.197","0.11"
"260","25","4777","-3.902","-3.902","0.175"
"262","26","5387","-4.912","-4.912","0.095"
"263","26","4746","-4.596","-4.596","0.03"
"264","26","4759","-4.159000000000001","-4.159000000000001","0.12"
"266","26","4765","-4.015","-4.015","0.15"
"265","26","15000","-13.775","-13.775","0.245"
"267","26","4744","-4.468999999999999","-4.468999999999999","0.055"
"268","26","4763","-3.9379999999999997","-3.9379999999999997","0.165"
"269","26","15000","-16.3","-16.3","0.34"
"270","26","7804","-7.6290000000000004","-7.6290000000000004","0.035"
"271","27","13186","-13.161","-13.161","0.005"
"272","27","4767","-4.2170000000000005","-4.2170000000000005","0.11"
"273","27","4748","-4.623","-4.623","0.025"
"274","27","4732","-3.857","-3.857","0.175"
"275","27","4786","-3.9609999999999994","-3.9609999999999994","0.165"
"278","27","15000","-14.45","-14.45","0.11"
"276","27","4729","-4.329","-4.329","0.08"
