"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"baseline1"
"01/03/2019 08:41:31:731 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts"
"88","8","2295","1.38","-2.6362528258387066","0.735","0","1487.8496081552348","147"
"89","8","2324","1.2510000000000003","-2.0200790317753587","0.915","1","886.6909451339591","183"
"90","8","2269","1.706","-3.270136236603283","0.795","0","909.2211970888977","159"
"94","9","15000","-12.725","-58.41982366783295","0.455","0","3200.735189730339","91"
"95","9","15000","-14.1","-21.54184947344653","0.18","0","3374.367779055874","36"
"92","9","15000","-12.9","-48.982456669144355","0.42","0","2806.858220985186","84"
"93","9","11911","-8.911","-21.5996811837336","0.6","0","2786.838906491555","120"
"96","9","15000","-11.275","-18.973194305065636","0.745","0","3135.0517536601874","149"
"101","10","15000","-12.25","-18.417850691762375","0.55","0","1264.7772035830599","110"
"97","9","15000","-14.1","-23.36600566808351","0.18","0","4697.291271741813","36"
"98","9","9535","-6.085000000000001","-25.76093746110636","0.69","0","2384.1602770760323","138"
"99","9","15000","-12.975","-37.12568704210743","0.405","0","3802.141481170966","81"
"100","9","15000","-13.4","-67.17906313923147","0.32","0","3021.7091623203237","64"
"104","10","15000","-13.4","-24.391070901322784","0.32","0","2985.485454042845","64"
"106","10","15000","-13.1","-23.707814746464578","0.38","0","3573.0842001035485","76"
"102","10","15000","-11.925","-31.587061802607725","0.615","0","2181.0988112919626","123"
"108","10","15000","-12.475","-24.079765779216327","0.505","0","1822.1445603947452","101"
"103","10","5682","-1.9070000000000005","-16.438856661387423","0.755","0","1385.8915755279504","151"
"107","10","5706","-1.2810000000000006","-13.545121942945999","0.885","0","855.5538132334525","177"
"109","10","15000","-12.1","-22.15585824407382","0.58","0","1689.4493038240046","116"
"105","10","15000","-12.375","-23.216889337947304","0.525","0","1839.8438648198012","105"
"111","11","15000","-14.4","-22.478414337307385","0.12","0","4243.810065956888","24"
"115","11","15000","-14.625","-23.914979589782526","0.075","0","3532.617641793127","15"
"112","11","6984","-4.659","-9.307585735351644","0.465","0","2392.2478697247743","93"
"110","10","15000","-11","-18.571228345832154","0.8","0","3906.212670910397","160"
"118","11","15000","-14.75","-25.12726516017492","0.05","0","4658.43880865133","10"
"114","11","14311","-12.136","-40.734186657852945","0.435","0","2974.5749034477467","87"
"113","11","15000","-12.25","-48.13509689772382","0.55","0","3342.160447115288","110"
"116","11","15000","-14.125","-19.848915969049827","0.175","0","4000.745382417401","35"
"117","11","15000","-12.025","-42.94598818924196","0.595","0","3774.3287743954934","119"
"120","11","15000","-13.15","-35.952214303661655","0.37","0","3150.772991071589","74"
"119","11","15000","-14.575","-21.999225433487233","0.085","0","4642.208189586932","17"
