"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 lhs"
"01/13/2019 11:40:40:573 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"49","48","3845","-0.39500000000000046","-8.937743243088047","0.69","0","2508.5878253724295","138","64.20406152877436","21.223370902106137","[501.7175650744859]"
"51","50","20000","-22","-22","0","2","5069.758565896201","0","0","0","[982.8539988705363]"
"44","43","20000","-20","-20","0","0","2946.273316305288","0","0","0","[393.46619942637324]"
"43","42","3863","-1.2129999999999996","-10.255182980497896","0.53","0","2756.612130855733","106","52.653830166717306","37.76799963826164","[551.3224261711466]"
"50","49","2346","-1.421","-3.4283142017668693","0.185","0","101.52800255359455","37","19.179991975177312","0.8931500424913791","[13.30933919947716]"
"52","51","2209","-1.484","-13.643481907787285","0.145","0","1364.8194361668222","29","76.67815232413865","44.9166667537342","[180.84016126726087]"
"53","52","6892","-7.5920000000000005","-18.34417735353024","0.46","3","4416.18981504728","92","73.63776250021968","33.88401103508271","[883.2379630094559]"
"54","53","2745","-0.9700000000000002","-9.171030454729179","0.355","0","479.3230382878093","71","62.54668692862248","19.46361761866929","[28.845473609585067]"
"55","54","9328","-9.277999999999999","-13.974440236379685","0.01","0","495.9588769557303","2","46.36918252847751","0.5952198353193542","[99.19177539114607]"
"57","56","4472","-11.472000000000001","-11.472000000000001","0","7","426.9635160177696","0","0","0","[51.16529101096418]"
"59","58","2371","0.6539999999999999","-11.856237666714243","0.605","0","806.2609385773385","121","68.37006141498087","56.73231525216157","[18.166164857962336]"
"58","57","20000","-20","-20","0","0","3217.2802201620107","0","0","0","[643.4560440324021]"
"61","60","20000","-20","-20","0","0","3474.084495228686","0","0","0","[688.9632903487723]"
"60","59","3057","1.943","0.569880696207659","1","0","281.82706354265883","200","8.926534770172438","4.804658267750971","[56.365412708531764]"
"66","65","20000","-20","-20","0","0","1444.0427403813528","0","0","0","[274.0718132057494]"
"62","61","6618","-9.618","-9.618","0","3","1489.8405322423016","0","0","0","[253.776863835169]"
"64","63","2964","-3.964","-3.964","0","1","143.9669735435242","0","0","0","[4.467690663027705]"
"63","62","6487","-4.487","-6.56539675255176","1","3","678.1226843635376","200","13.364173516873823","7.419794008643785","[135.62453687270752]"
"65","64","20000","-20","-20","0","0","3054.35707169217","0","0","0","[208.36744388546762]"
"68","67","2595","-2.595","-2.595","0","0","585.4379107576705","0","0","0","[13.07955019680546]"
"67","66","3718","-2.818","-45.15490973220507","0.18","0","3196.4881529743734","36","170.1990455845236","253.17005173752702","[113.2887915460018]"
"70","69","20000","-18.725","-23.753046820662668","0.255","0","3723.7593643609443","51","29.19803355534144","21.082434651285233","[699.4153374952425]"
"71","70","3446","-2.3710000000000004","-43.65570160052314","0.215","0","2904.7507937527234","43","239.0928151145111","173.75420089072009","[356.05463682541017]"
"72","71","9157","-6.657","-19.46186029230824","0.5","0","1082.6310203077323","100","84.72365627189114","43.324946651191226","[216.52620406154645]"
"73","72","3589","-3.589","-3.589","0","0","996.7021721926374","0","0","0","[199.34043443852747]"
"74","73","4074","-3.574","-11.136888946672473","0.1","0","3743.585001754625","20","47.48230696811608","28.146582498608645","[748.717000350925]"
"75","74","2114","1.8860000000000001","-5.393351059620239","1","1","539.4752689168015","200","42.763969588582675","30.02954100761973","[52.34939301370732]"
"76","75","3908","-0.133","-6.839163882168546","0.755","0","726.8078568305707","151","34.339715240502954","32.72192358118252","[145.36157136611413]"
"80","79","20000","-19.875","-20.350862097868056","0.025","0","2854.290165573183","5","3.454060555539688","1.3045604231408625","[554.7887572292287]"
"56","55","20000","-15.925","-37.55397917363966","0.815","0","3088.216429366955","163","116.02847876358396","100.26131297281275","[617.6432858733909]"
"77","76","4980","-1.4300000000000006","-7.3994712550147925","0.71","0","621.9019312933974","142","36.47361367890319","23.221098871244713","[94.58282904676372]"
"78","77","2401","1.4740000000000002","-2.643818327032161","0.775","0","1127.8639654764188","155","24.739022161786938","16.439161108534677","[225.57279309528377]"
"79","78","3526","-3.526","-3.526","0","0","529.4723359970363","0","0","0","[105.89446719940727]"
"81","80","2230","-2.23","-2.23","0","0","484.9988385630672","0","0","0","[87.68082645488789]"
"82","81","4102","-3.902","-9.573870443990348","0.04","0","715.6609469409723","8","48.997412113967535","7.721292325935931","[143.13218938819446]"
"83","82","3038","-1.7879999999999998","-9.312961291642667","0.25","0","928.5402581890913","50","41.44204856335723","33.80756435306942","[185.70805163781827]"
"69","68","9632","-9.632","-9.632","0","0","1709.1729121371884","0","0","0","[57.30174856088004]"
"84","83","2649","-2.649","-2.649","0","0","1504.0663381960571","0","0","0","[300.8132676392114]"
"90","89","20000","-19.825","-73.7446340379335","0.035","0","3673.9419965393845","7","537.6279678917039","1.5683724876310678","[652.799268480047]"
"86","85","8527","-8.501999999999999","-8.501999999999999","0.005","0","529.7469777620914","1","0","0","[67.63476699765896]"
"87","86","7358","-10.033","-19.384339262361408","0.065","3","837.7724193001758","13","93.06232701343248","0.45106561018157404","[167.55448386003516]"
"88","87","2751","0.6240000000000001","-8.039760142542471","0.675","0","1487.8192943572935","135","44.0075391225565","42.630062302868225","[297.5638588714587]"
"89","88","2178","-0.15299999999999958","-2.3532455996340937","0.405","0","164.96253427049382","81","16.721479372229517","5.28097662411142","[27.603985415549353]"
"91","90","2565","2.4099999999999997","-7.157466003519696","0.995","0","877.009914573909","199","58.0692937441057","37.60536629109127","[128.74295563432958]"
"92","91","20000","-22","-22","0","2","2606.8811775595213","0","0","0","[521.3762355119043]"
"96","95","20000","-16.45","-58.721299320321904","0.71","0","5003.668930427007","142","193.1536528659078","229.55934033731128","[1000.7337860854013]"
"93","92","2596","2.404","-1.2423039102394844","1","0","389.5683124829447","200","21.995631033968092","14.467408068426751","[77.91366249658894]"
"94","93","2371","-2.371","-2.371","0","0","1329.9357185160873","0","0","0","[262.5189094291967]"
"95","94","2850","-2.85","-2.85","0","0","214.1759020437415","0","0","0","[42.8351804087483]"
"97","96","20000","-20","-20","0","0","3611.200057410154","0","0","0","[722.2400114820308]"
"99","98","2867","-2.692","-7.164454894552107","0.035","0","244.6866039396932","7","43.70358332730642","1.0209656182146523","[48.937320787938646]"
"98","97","5541","-0.5410000000000004","-10.331523582374373","1","0","623.3893498803013","200","58.11123160988738","39.79400421385631","[43.68300156194543]"
"100","99","4802","0.1980000000000004","-6.37964437707773","1","0","710.3567213912304","200","38.02029954624221","27.756144224535074","[97.04462896257452]"
"102","101","2242","-2.242","-2.242","0","0","170.78069309996067","0","0","0","[34.156138619992134]"
"103","102","4410","-4.41","-4.41","0","0","2904.7144613620076","0","0","0","[265.89350869951573]"
"85","84","20000","-19.825","-33.2389832875321","0.035","0","3771.6893297286824","7","78.7716636396927","55.36816923562828","[609.8323470312116]"
"104","103","2361","-2.361","-2.361","0","0","1615.1128915614438","0","0","0","[323.0225783122888]"
"105","104","2736","-1.9860000000000002","-9.621268970902912","0.15","0","1305.1110560219859","30","42.31239909518187","34.04029061384724","[261.0222112043972]"
"101","100","7234","-4.009","-23.977872943198","0.645","0","2340.783887326215","129","118.02640716543819","81.66232226654184","[50.29220942944016]"
"106","105","2104","-2.104","-2.104","0","0","117.01422895996201","0","0","0","[23.4028457919924]"
"108","107","20000","-20","-20","0","0","3058.300552867844","0","0","0","[295.29872721456707]"
"110","109","8461","-3.4610000000000003","-8.592458060350635","1","0","343.5215706462328","200","33.61486730656647","17.69971329693989","[68.70431412924657]"
"111","110","20000","-20","-20","0","0","3488.731550069569","0","0","0","[348.06908844288927]"
"112","111","4453","-4.453","-4.453","0","0","930.7761745084435","0","0","0","[186.15523490168871]"
"113","112","5288","-0.7880000000000003","-3.9562658131149417","0.9","0","290.26032990531985","180","15.51943775366671","16.16322037748271","[57.24605861466251]"
"114","113","7690","-7.69","-7.69","0","0","2902.3547332131925","0","0","0","[578.0389724380998]"
"109","108","5526","-5.526","-5.526","0","0","2741.301078789083","0","0","0","[169.49093260556555]"
"115","114","2140","-0.41500000000000026","-5.994613538058364","0.345","0","1057.163767247691","69","32.90862242158238","22.887512959001246","[194.39845712151646]"
"116","115","2963","-2.938","-2.938","0.005","0","1754.4459186386262","1","0","0","[350.88918372772525]"
"107","106","17097","-15.497000000000002","-47.93123105860375","0.32","0","2415.8660369064573","64","173.20084915373775","151.14146143229968","[371.84280474153525]"
"117","116","5535","-5.535","-5.535","0","0","2339.46328795513","0","0","0","[224.0544234980416]"
"118","117","3317","1.6829999999999998","0.8021522601911177","1","0","76.46635118845899","200","4.8384294496164175","3.9700479484724","[15.293270237691797]"
"119","118","2789","-2.789","-2.789","0","0","1097.4855313062958","0","0","0","[219.49710626125915]"
"120","119","2482","1.9929999999999994","-1.8787701271025563","0.895","0","285.75929409969626","179","23.577234324479278","15.140466946546265","[57.15185881993925]"
"121","120","2316","-2.316","-2.316","0","0","970.2541144376914","0","0","0","[165.36791405866785]"
"122","121","4655","-4.655","-4.655","0","0","3584.4750440948137","0","0","0","[250.08280693720178]"
"123","122","20000","-19.95","-26.43502522858707","0.01","0","4051.39528600464","2","59.183763785993044","5.6664884998776435","[644.3114642860073]"
"125","124","3408","-5.4079999999999995","-5.4079999999999995","0","2","1604.7835549547826","0","0","0","[320.95671099095654]"
"124","123","5073","-0.0730000000000004","-0.6256665304930802","1","0","39.17131515041275","200","3.270437530311475","2.256227774619323","[7.103877242187349]"
"126","125","4036","-6.036","-6.036","0","2","679.5512883744198","0","0","0","[23.77519599634933]"
"127","126","2678","0.22199999999999998","-6.854629652810175","0.58","0","770.4676782090725","116","39.51446715749866","31.251829370603105","[154.0935356418145]"
