"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 nolh"
"01/19/2019 22:09:12:449 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"269","10","2197","0","654.5676891934452","111","33.06637212928208","35.138268266132506"
"272","13","35000","5","5589.56557636326","67","387.65890602519113","250.5555502936082"
"274","15","5632","0","3748.6355520034936","0","0","0"
"275","16","6120","0","1908.0404040016006","12","108.83183821213281","44.7136797871885"
"278","19","35000","0","2056.3523419616363","28","112.16255765650403","66.06994775227888"
"271","12","21412","0","4682.983022881137","99","288.26077475629774","215.81188363092787"
"273","14","9449","2","3847.520030497128","0","0","0"
"276","17","4307","1","989.5867856564146","44","42.25084976960174","11.711339751359576"
"277","18","35000","1","1985.9958547571482","166","49.515670471343846","28.415645372651518"
"279","20","12152","0","3920.9513442996627","34","407.2952389684805","337.89982934435943"
"280","21","5056","0","1550.4339023626765","71","93.00777487758458","99.79053660096068"
"282","23","6854","0","3573.4605394161513","0","0","0"
"283","24","5661","0","3354.8659335562834","14","182.3312660862218","178.3937058349055"
"285","26","2729","0","592.5379444120501","65","36.43921196145877","35.382477119741914"
"284","25","35000","0","5527.941759113391","0","0","0"
"286","27","2200","0","2987.9333333066","25","62.39205039935128","20.41559948043259"
"281","22","24451","0","3777.5648084226477","0","0","0"
"288","29","13661","0","4395.506782896232","77","370.45978966391465","203.35267658847965"
"291","32","4458","0","1514.734213147841","0","0","0"
"290","31","35000","0","2524.0001742409318","0","0","0"
"292","33","3529","0","814.6385822926086","0","0","0"
"293","34","2236","0","375.1246702069718","157","27.04124543306544","16.866117349775603"
"294","35","3944","0","434.1426223949396","183","25.279813397939552","22.295893699283607"
"295","36","12422","0","2086.09126011329","0","0","0"
"296","37","6535","0","1459.2311659940444","195","49.256625599331144","26.08419003070727"
"298","39","2408","2","1216.2114371559337","0","0","0"
"299","40","3499","2","236.05041121009145","0","0","0"
"297","38","35000","0","2250.00776944454","7","85.06698164711574","59.49350977434355"
"289","30","35000","0","4039.8836198784397","0","0","0"
"301","42","2821","0","716.217033009484","33","35.787877804351176","18.91639918397899"
"302","43","2463","0","1555.6027740141028","180","16.479195725364303","23.18553476926477"
"300","41","4177","2","974.3183735490869","0","0","0"
"303","44","11075","0","4486.406901845596","91","46.197387542707276","37.44478449026323"
"304","45","17521","0","3215.7641587850403","169","129.61999715426276","109.68499218632412"
"305","46","2554","0","2597.1836280289863","4","184.27147700949166","105.74894146579399"
"306","47","6747","0","4243.5548153466625","0","0","0"
"307","48","3942","4","216.74024878857523","0","0","0"
"312","53","35000","0","3527.67481806768","10","21.952520252475843","6.6337850012683015"
"308","49","7751","0","761.9401362245808","49","72.0224223402522","11.726813592933572"
"309","50","3329","0","545.5994510826738","128","14.87288353051714","15.058683206574912"
"310","51","2409","0","259.37939651695575","133","16.401681432292342","7.840128009892283"
"311","52","6126","0","2820.1751612750368","40","42.9512924144592","20.500685502261746"
"317","58","35000","0","2855.4403522412126","10","9.563629476414787","6.197646986967114"
"314","55","16892","1","4575.923143883696","10","334.2548164816004","305.1330067694923"
"313","54","35000","0","2696.980460567793","0","0","0"
"315","56","7433","0","2041.6794459276614","0","0","0"
"316","57","4011","0","578.9101085557747","83","49.34222114737485","16.4675448842817"
"318","59","2879","0","964.1031091625728","152","85.01513147871525","72.99330514118786"
"322","63","35000","0","3965.235761940576","0","0","0"
"319","60","4620","0","2651.5533016169156","64","62.94796555980708","49.08720403249989"
"324","65","35000","0","4075.9241821936666","5","160.37854774871371","41.446685994749906"
"287","28","35000","0","4529.653254138332","91","76.47657961058293","64.20432802913135"
"321","62","9036","0","3949.3279486276406","0","0","0"
"320","61","35000","0","3067.401466517904","85","62.398605150133186","92.37967055478295"
"323","64","3494","0","2051.8511699771834","66","81.46019179557697","76.16420971706134"
"325","66","2889","0","1516.9679085250782","150","33.00190413418372","26.500666342351046"
"326","67","35000","0","5041.476745510869","0","0","0"
"333","74","35000","0","0","0","0","0"
"327","68","35000","0","3557.976025051874","9","105.65058794782627","17.378168762199422"
"328","69","3033","0","2670.6182725264744","0","0","0"
"332","73","35000","0","4696.899958505667","99","179.126447332087","104.12744811799325"
"329","70","3206","0","561.087464453842","0","0","0"
"330","71","10385","5","598.6351861435719","43","71.49774089542416","34.29563429370617"
"331","72","4798","0","1051.4961163533235","130","73.75319270318096","47.35127897986878"
"340","81","35000","0","3217.1386142069177","18","158.77231541509687","223.13924604056155"
"334","75","9497","4","2779.1421518855896","0","0","0"
"336","77","2645","1","580.6207285368168","0","0","0"
"338","79","3559","0","110.40527729393305","188","10.993172036502715","6.3880558397912655"
"335","76","28621","0","3474.065585793195","0","0","0"
"337","78","2587","1","601.6812265901438","0","0","0"
"341","82","20212","0","4313.64132012574","96","177.8363658016823","42.35601525491837"
"339","80","5183","0","102.78331195412375","200","7.66192981664123","5.077380022353532"
"344","85","2480","0","532.3645101554827","0","0","0"
"343","84","11019","5","2610.1901273505628","0","0","0"
"348","89","35000","0","4650.896318339664","57","56.831504460297296","54.071652293153704"
"346","87","4877","0","602.6043327155053","15","36.58865267655126","32.1801061287548"
"342","83","34944","2","3532.241391398864","0","0","0"
"347","88","4093","0","41.64362940529557","200","3.479838419904348","2.4955593879204097"
"349","90","35000","0","3099.8780756950546","31","141.03208154475595","67.0603352706451"
"345","86","35000","0","3431.9148104501182","0","0","0"
"351","92","35000","0","1898.2203401684087","0","0","0"
"350","91","6768","0","4059.4428710300867","0","0","0"
"353","94","3265","1","84.36091020844125","0","0","0"
"354","95","4973","0","488.11703981327514","83","27.336884336802733","20.61845684058784"
"352","93","35000","0","2473.369305228857","0","0","0"
"355","96","4195","0","504.3375482882238","187","11.30991622137324","14.339321807715683"
